Device Info:
CPU: Intel64 Family 6 Model 183 Stepping 1, GenuineIntel (28 cores)
GPU: NVIDIA GeForce RTX 4070 SUPER
Memory: 18.9GB free / 31.8GB total
----------
2025-03-19 15:13:46 - Max FPS: 9.41, Min FPS: 7.25, Avg FPS: 8.50, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:47 - Max FPS: 10.84, Min FPS: 8.00, Avg FPS: 9.60, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:48 - Max FPS: 10.87, Min FPS: 7.18, Avg FPS: 9.61, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:49 - Max FPS: 12.98, Min FPS: 7.39, Avg FPS: 10.38, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:50 - Max FPS: 10.69, Min FPS: 8.00, Avg FPS: 9.04, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:51 - Max FPS: 10.62, Min FPS: 7.18, Avg FPS: 8.80, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:52 - Max FPS: 10.80, Min FPS: 8.30, Avg FPS: 9.69, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:54 - Max FPS: 10.87, Min FPS: 8.08, Avg FPS: 9.47, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:55 - Max FPS: 10.83, Min FPS: 5.81, Avg FPS: 9.24, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:56 - Max FPS: 10.90, Min FPS: 7.08, Avg FPS: 9.23, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:57 - Max FPS: 11.14, Min FPS: 5.40, Avg FPS: 9.14, Predictions per frame: 0.11, PPS: 1
2025-03-19 15:13:58 - Max FPS: 11.14, Min FPS: 8.99, Avg FPS: 9.80, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:59 - Max FPS: 12.87, Min FPS: 8.25, Avg FPS: 9.95, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:14:00 - Max FPS: 10.93, Min FPS: 5.85, Avg FPS: 8.32, Predictions per frame: 0.56, PPS: 5
2025-03-19 15:14:01 - Max FPS: 6.55, Min FPS: 5.82, Avg FPS: 6.28, Predictions per frame: 1.00, PPS: 7
2025-03-19 15:14:02 - Max FPS: 7.24, Min FPS: 5.85, Avg FPS: 6.32, Predictions per frame: 1.00, PPS: 7
2025-03-19 15:14:03 - Max FPS: 9.40, Min FPS: 4.53, Avg FPS: 7.32, Predictions per frame: 0.29, PPS: 2
2025-03-19 15:14:04 - Max FPS: 9.30, Min FPS: 5.45, Avg FPS: 7.92, Predictions per frame: 0.38, PPS: 3
2025-03-19 15:14:05 - Max FPS: 12.80, Min FPS: 5.31, Avg FPS: 8.50, Predictions per frame: 0.44, PPS: 4
2025-03-19 15:14:06 - Max FPS: 7.36, Min FPS: 5.43, Avg FPS: 6.47, Predictions per frame: 1.00, PPS: 7
2025-03-19 15:14:07 - Max FPS: 9.38, Min FPS: 5.85, Avg FPS: 6.90, Predictions per frame: 0.57, PPS: 4
2025-03-19 15:14:09 - Max FPS: 8.07, Min FPS: 5.02, Avg FPS: 6.72, Predictions per frame: 1.00, PPS: 7
2025-03-19 15:14:10 - Max FPS: 7.28, Min FPS: 4.97, Avg FPS: 6.47, Predictions per frame: 1.00, PPS: 7
2025-03-19 15:14:11 - Max FPS: 9.10, Min FPS: 5.40, Avg FPS: 7.19, Predictions per frame: 0.57, PPS: 4
2025-03-19 15:14:12 - Max FPS: 12.95, Min FPS: 6.49, Avg FPS: 9.94, Predictions per frame: 0.30, PPS: 3
2025-03-19 15:14:13 - Max FPS: 9.10, Min FPS: 5.79, Avg FPS: 6.75, Predictions per frame: 0.86, PPS: 6
2025-03-19 15:14:14 - Max FPS: 7.25, Min FPS: 5.42, Avg FPS: 6.35, Predictions per frame: 1.00, PPS: 7
2025-03-19 15:14:15 - Max FPS: 10.81, Min FPS: 6.44, Avg FPS: 9.24, Predictions per frame: 0.10, PPS: 1
2025-03-19 15:14:16 - Max FPS: 13.05, Min FPS: 7.12, Avg FPS: 10.46, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:14:17 - Max FPS: 10.82, Min FPS: 6.46, Avg FPS: 9.32, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:14:18 - Max FPS: 13.07, Min FPS: 8.06, Avg FPS: 9.45, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:14:19 - Max FPS: 12.95, Min FPS: 7.99, Avg FPS: 9.73, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:14:20 - Max FPS: 12.93, Min FPS: 7.33, Avg FPS: 9.49, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:14:21 - Max FPS: 13.12, Min FPS: 8.07, Avg FPS: 9.56, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:16:31 - Max FPS: 0.11, Min FPS: 0.11, Avg FPS: 0.11, Predictions per frame: 1.00, PPS: 1
2025-03-19 15:16:32 - Max FPS: 11.49, Min FPS: 1.35, Avg FPS: 8.83, Predictions per frame: 1.00, PPS: 4
2025-03-19 15:16:33 - Max FPS: 11.48, Min FPS: 7.78, Avg FPS: 10.68, Predictions per frame: 1.00, PPS: 11
2025-03-19 15:16:34 - Max FPS: 10.95, Min FPS: 8.32, Avg FPS: 10.43, Predictions per frame: 1.00, PPS: 11
2025-03-19 15:16:35 - Max FPS: 11.53, Min FPS: 8.57, Avg FPS: 10.49, Predictions per frame: 1.00, PPS: 11
2025-03-19 15:16:36 - Max FPS: 10.90, Min FPS: 8.30, Avg FPS: 10.42, Predictions per frame: 1.00, PPS: 11
2025-03-19 15:16:37 - Max FPS: 27.79, Min FPS: 8.35, Avg FPS: 14.36, Predictions per frame: 0.62, PPS: 8
2025-03-19 15:16:38 - Max FPS: 26.66, Min FPS: 8.52, Avg FPS: 19.56, Predictions per frame: 0.22, PPS: 4
2025-03-19 15:16:39 - Max FPS: 10.86, Min FPS: 8.48, Avg FPS: 10.16, Predictions per frame: 1.00, PPS: 11
2025-03-19 15:16:40 - Max FPS: 11.08, Min FPS: 8.45, Avg FPS: 10.29, Predictions per frame: 1.00, PPS: 11
2025-03-19 15:16:41 - Max FPS: 10.87, Min FPS: 8.23, Avg FPS: 10.19, Predictions per frame: 1.00, PPS: 11
2025-03-19 15:16:42 - Max FPS: 10.99, Min FPS: 8.20, Avg FPS: 9.80, Predictions per frame: 1.00, PPS: 10
2025-03-19 15:16:43 - Max FPS: 10.95, Min FPS: 8.45, Avg FPS: 10.29, Predictions per frame: 1.00, PPS: 11
2025-03-19 15:16:44 - Max FPS: 11.23, Min FPS: 8.51, Avg FPS: 10.48, Predictions per frame: 1.00, PPS: 11
2025-03-19 15:16:45 - Max FPS: 10.98, Min FPS: 8.42, Avg FPS: 10.33, Predictions per frame: 1.00, PPS: 11
2025-03-19 15:16:47 - Max FPS: 10.99, Min FPS: 8.37, Avg FPS: 10.26, Predictions per frame: 1.00, PPS: 11
2025-03-19 15:16:48 - Max FPS: 11.03, Min FPS: 8.25, Avg FPS: 10.37, Predictions per frame: 1.00, PPS: 11
2025-03-19 15:16:49 - Max FPS: 10.81, Min FPS: 8.45, Avg FPS: 10.17, Predictions per frame: 1.00, PPS: 11
2025-03-19 15:16:50 - Max FPS: 10.96, Min FPS: 7.48, Avg FPS: 10.27, Predictions per frame: 1.00, PPS: 11
2025-03-19 15:16:51 - Max FPS: 10.88, Min FPS: 8.64, Avg FPS: 10.20, Predictions per frame: 1.00, PPS: 11
2025-03-19 15:16:52 - Max FPS: 26.02, Min FPS: 8.45, Avg FPS: 11.69, Predictions per frame: 0.91, PPS: 10
2025-03-19 15:16:53 - Max FPS: 30.30, Min FPS: 8.91, Avg FPS: 17.88, Predictions per frame: 0.35, PPS: 6
2025-03-19 15:16:54 - Max FPS: 22.24, Min FPS: 9.20, Avg FPS: 15.81, Predictions per frame: 0.40, PPS: 6
2025-03-19 15:16:55 - Max FPS: 27.34, Min FPS: 8.36, Avg FPS: 18.17, Predictions per frame: 0.35, PPS: 6
2025-03-19 15:16:56 - Max FPS: 10.90, Min FPS: 7.49, Avg FPS: 10.00, Predictions per frame: 1.00, PPS: 11
2025-03-19 15:16:57 - Max FPS: 29.96, Min FPS: 9.40, Avg FPS: 12.38, Predictions per frame: 0.75, PPS: 9
2025-03-19 15:16:58 - Max FPS: 30.30, Min FPS: 13.30, Avg FPS: 23.60, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:16:59 - Max FPS: 21.78, Min FPS: 7.52, Avg FPS: 15.57, Predictions per frame: 0.57, PPS: 8
2025-03-19 15:17:00 - Max FPS: 10.93, Min FPS: 8.32, Avg FPS: 10.30, Predictions per frame: 1.00, PPS: 11
2025-03-19 15:17:02 - Max FPS: 11.14, Min FPS: 8.34, Avg FPS: 10.50, Predictions per frame: 1.00, PPS: 11
2025-03-19 15:17:03 - Max FPS: 11.12, Min FPS: 8.25, Avg FPS: 10.46, Predictions per frame: 1.00, PPS: 11
2025-03-19 15:17:04 - Max FPS: 11.05, Min FPS: 8.38, Avg FPS: 10.46, Predictions per frame: 1.00, PPS: 11
2025-03-19 15:17:05 - Max FPS: 11.13, Min FPS: 8.48, Avg FPS: 10.51, Predictions per frame: 1.00, PPS: 11
2025-03-19 15:17:06 - Max FPS: 11.05, Min FPS: 8.36, Avg FPS: 10.49, Predictions per frame: 1.00, PPS: 11
2025-03-19 15:17:07 - Max FPS: 11.19, Min FPS: 8.45, Avg FPS: 10.48, Predictions per frame: 1.00, PPS: 11
2025-03-19 15:17:08 - Max FPS: 29.81, Min FPS: 10.51, Avg FPS: 20.26, Predictions per frame: 0.05, PPS: 1
