Device Info:
CPU: Intel64 Family 6 Model 183 Stepping 1, GenuineIntel (28 cores)
GPU: NVIDIA GeForce RTX 4070 SUPER
Memory: 6.9GB free / 31.8GB total
----------
2025-03-19 21:36:10 - Max FPS: 35.69, Min FPS: 1.57, Avg FPS: 29.22, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:36:11 - Max FPS: 34.40, Min FPS: 9.75, Avg FPS: 28.94, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:36:12 - Max FPS: 39.85, Min FPS: 17.78, Avg FPS: 30.96, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:36:13 - Max FPS: 33.88, Min FPS: 2.66, Avg FPS: 29.36, Predictions per frame: 0.04, PPS: 1
2025-03-19 21:36:15 - Max FPS: 18.24, Min FPS: 12.12, Avg FPS: 15.75, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:36:16 - Max FPS: 16.55, Min FPS: 11.20, Avg FPS: 15.50, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:36:17 - Max FPS: 16.64, Min FPS: 11.50, Avg FPS: 15.27, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:36:18 - Max FPS: 16.27, Min FPS: 11.31, Avg FPS: 14.79, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:36:19 - Max FPS: 16.46, Min FPS: 8.48, Avg FPS: 14.99, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:36:20 - Max FPS: 16.52, Min FPS: 11.33, Avg FPS: 15.05, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:36:21 - Max FPS: 16.19, Min FPS: 11.16, Avg FPS: 14.79, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:36:22 - Max FPS: 16.31, Min FPS: 11.25, Avg FPS: 15.28, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:36:23 - Max FPS: 16.33, Min FPS: 11.20, Avg FPS: 15.14, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:36:24 - Max FPS: 16.56, Min FPS: 10.98, Avg FPS: 14.55, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:36:25 - Max FPS: 16.28, Min FPS: 11.22, Avg FPS: 14.39, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:36:26 - Max FPS: 16.27, Min FPS: 11.24, Avg FPS: 14.80, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:36:27 - Max FPS: 16.36, Min FPS: 9.93, Avg FPS: 14.43, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:36:28 - Max FPS: 16.50, Min FPS: 9.61, Avg FPS: 14.44, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:36:29 - Max FPS: 16.35, Min FPS: 9.53, Avg FPS: 14.86, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:36:30 - Max FPS: 16.26, Min FPS: 9.79, Avg FPS: 15.11, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:36:31 - Max FPS: 16.16, Min FPS: 9.88, Avg FPS: 15.15, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:36:32 - Max FPS: 16.33, Min FPS: 7.03, Avg FPS: 14.54, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:36:33 - Max FPS: 16.36, Min FPS: 9.99, Avg FPS: 14.07, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:36:34 - Max FPS: 16.45, Min FPS: 11.46, Avg FPS: 15.28, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:36:35 - Max FPS: 16.22, Min FPS: 9.79, Avg FPS: 14.40, Predictions per frame: 1.00, PPS: 15
