Device Info:
CPU: Intel64 Family 6 Model 186 Stepping 2, GenuineIntel (20 cores)
GPU: Not available
Memory: 6.4GB free / 15.6GB total
----------
2025-03-14 05:48:07 - Max FPS: 6.45, Min FPS: 5.69, Avg FPS: 6.23, Predictions per frame: 1.00, PPS: 7
2025-03-14 05:48:08 - Max FPS: 6.98, Min FPS: 4.85, Avg FPS: 5.97, Predictions per frame: 1.00, PPS: 7
2025-03-14 05:48:09 - Max FPS: 7.12, Min FPS: 4.78, Avg FPS: 5.99, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:48:10 - Max FPS: 7.08, Min FPS: 4.78, Avg FPS: 5.78, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:48:12 - Max FPS: 6.43, Min FPS: 4.80, Avg FPS: 5.88, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:48:13 - Max FPS: 7.04, Min FPS: 4.85, Avg FPS: 5.98, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:48:14 - Max FPS: 6.38, Min FPS: 4.84, Avg FPS: 5.61, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:48:15 - Max FPS: 6.47, Min FPS: 4.85, Avg FPS: 5.67, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:48:16 - Max FPS: 6.59, Min FPS: 4.92, Avg FPS: 5.80, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:48:17 - Max FPS: 6.81, Min FPS: 4.89, Avg FPS: 5.84, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:48:18 - Max FPS: 6.34, Min FPS: 4.85, Avg FPS: 5.60, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:48:19 - Max FPS: 6.47, Min FPS: 4.86, Avg FPS: 5.96, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:48:20 - Max FPS: 6.62, Min FPS: 3.91, Avg FPS: 5.55, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:48:21 - Max FPS: 6.71, Min FPS: 5.04, Avg FPS: 5.76, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:48:22 - Max FPS: 6.90, Min FPS: 6.07, Avg FPS: 6.47, Predictions per frame: 1.00, PPS: 7
2025-03-14 05:48:23 - Max FPS: 16.80, Min FPS: 4.95, Avg FPS: 7.85, Predictions per frame: 0.71, PPS: 5
2025-03-14 05:48:24 - Max FPS: 20.83, Min FPS: 5.15, Avg FPS: 9.87, Predictions per frame: 0.62, PPS: 5
2025-03-14 05:48:25 - Max FPS: 6.51, Min FPS: 4.87, Avg FPS: 6.01, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:48:26 - Max FPS: 16.41, Min FPS: 6.32, Avg FPS: 12.19, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:48:27 - Max FPS: 16.24, Min FPS: 10.52, Avg FPS: 12.17, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:48:28 - Max FPS: 19.57, Min FPS: 9.92, Avg FPS: 14.15, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:48:29 - Max FPS: 15.39, Min FPS: 10.58, Avg FPS: 12.40, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:48:30 - Max FPS: 12.94, Min FPS: 10.13, Avg FPS: 11.31, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:56:16 - Max FPS: 6.39, Min FPS: 1.08, Avg FPS: 3.74, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:56:17 - Max FPS: 16.17, Min FPS: 9.59, Avg FPS: 13.52, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:56:18 - Max FPS: 18.03, Min FPS: 11.41, Avg FPS: 14.49, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:56:20 - Max FPS: 17.37, Min FPS: 8.46, Avg FPS: 14.54, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:56:21 - Max FPS: 16.85, Min FPS: 12.91, Avg FPS: 15.14, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:56:22 - Max FPS: 15.41, Min FPS: 11.19, Avg FPS: 13.08, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:56:23 - Max FPS: 16.70, Min FPS: 12.17, Avg FPS: 13.29, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:49:46 - Max FPS: 0.95, Min FPS: 0.95, Avg FPS: 0.95, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:49:47 - Max FPS: 37.05, Min FPS: 12.32, Avg FPS: 30.96, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:49:48 - Max FPS: 37.02, Min FPS: 16.94, Avg FPS: 31.21, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:49:49 - Max FPS: 35.67, Min FPS: 18.37, Avg FPS: 30.33, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:49:50 - Max FPS: 40.01, Min FPS: 14.19, Avg FPS: 31.03, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:49:51 - Max FPS: 39.40, Min FPS: 14.18, Avg FPS: 30.43, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:49:52 - Max FPS: 32.25, Min FPS: 12.55, Avg FPS: 25.58, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:50:36 - Max FPS: 29.40, Min FPS: 1.32, Avg FPS: 20.03, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:50:37 - Max FPS: 32.88, Min FPS: 18.03, Avg FPS: 25.71, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:50:38 - Max FPS: 31.76, Min FPS: 16.59, Avg FPS: 23.29, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:50:39 - Max FPS: 32.38, Min FPS: 13.98, Avg FPS: 23.15, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:50:40 - Max FPS: 31.24, Min FPS: 17.77, Avg FPS: 24.13, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:50:41 - Max FPS: 32.25, Min FPS: 11.34, Avg FPS: 25.72, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:50:42 - Max FPS: 32.89, Min FPS: 14.59, Avg FPS: 25.98, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:50:43 - Max FPS: 32.54, Min FPS: 18.37, Avg FPS: 28.38, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:51:56 - Max FPS: 33.32, Min FPS: 1.58, Avg FPS: 24.49, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:51:57 - Max FPS: 32.77, Min FPS: 14.15, Avg FPS: 24.27, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:51:58 - Max FPS: 32.80, Min FPS: 15.15, Avg FPS: 28.28, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:51:59 - Max FPS: 32.25, Min FPS: 14.26, Avg FPS: 28.16, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:52:00 - Max FPS: 31.57, Min FPS: 10.28, Avg FPS: 21.97, Predictions per frame: 0.00, PPS: 0
2025-03-19 14:38:33 - Max FPS: 34.47, Min FPS: 1.31, Avg FPS: 27.41, Predictions per frame: 0.00, PPS: 0
2025-03-19 14:38:34 - Max FPS: 36.47, Min FPS: 17.38, Avg FPS: 30.78, Predictions per frame: 0.00, PPS: 0
2025-03-19 14:38:35 - Max FPS: 37.04, Min FPS: 17.54, Avg FPS: 31.07, Predictions per frame: 0.00, PPS: 0
2025-03-19 14:38:36 - Max FPS: 35.71, Min FPS: 16.73, Avg FPS: 30.69, Predictions per frame: 0.00, PPS: 0
2025-03-19 14:38:37 - Max FPS: 36.90, Min FPS: 15.97, Avg FPS: 30.61, Predictions per frame: 0.00, PPS: 0
2025-03-19 14:45:03 - Max FPS: 33.33, Min FPS: 1.38, Avg FPS: 27.78, Predictions per frame: 0.00, PPS: 0
2025-03-19 14:45:04 - Max FPS: 33.34, Min FPS: 17.81, Avg FPS: 30.41, Predictions per frame: 0.00, PPS: 0
2025-03-19 14:45:05 - Max FPS: 38.12, Min FPS: 17.85, Avg FPS: 31.00, Predictions per frame: 0.00, PPS: 0
2025-03-19 14:45:06 - Max FPS: 35.88, Min FPS: 14.38, Avg FPS: 30.66, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:22 - Max FPS: 22.17, Min FPS: 1.61, Avg FPS: 18.52, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:23 - Max FPS: 22.59, Min FPS: 13.89, Avg FPS: 20.44, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:24 - Max FPS: 29.41, Min FPS: 15.21, Avg FPS: 22.24, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:25 - Max FPS: 28.98, Min FPS: 13.26, Avg FPS: 22.32, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:26 - Max FPS: 22.72, Min FPS: 12.73, Avg FPS: 19.91, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:16:12 - Max FPS: 12.88, Min FPS: 1.65, Avg FPS: 7.66, Predictions per frame: 1.00, PPS: 4
2025-03-19 15:16:13 - Max FPS: 14.59, Min FPS: 9.84, Avg FPS: 12.80, Predictions per frame: 1.00, PPS: 13
2025-03-19 15:16:14 - Max FPS: 14.80, Min FPS: 8.62, Avg FPS: 13.22, Predictions per frame: 1.00, PPS: 14
2025-03-19 15:16:15 - Max FPS: 14.73, Min FPS: 9.54, Avg FPS: 13.21, Predictions per frame: 1.00, PPS: 14
2025-03-19 15:16:16 - Max FPS: 14.56, Min FPS: 9.68, Avg FPS: 12.85, Predictions per frame: 1.00, PPS: 13
2025-03-19 15:16:17 - Max FPS: 14.82, Min FPS: 9.79, Avg FPS: 13.31, Predictions per frame: 1.00, PPS: 14
2025-03-19 15:16:18 - Max FPS: 14.80, Min FPS: 9.56, Avg FPS: 13.60, Predictions per frame: 1.00, PPS: 14
2025-03-19 15:16:19 - Max FPS: 14.22, Min FPS: 9.22, Avg FPS: 12.91, Predictions per frame: 1.00, PPS: 13
2025-03-19 15:16:20 - Max FPS: 14.26, Min FPS: 9.80, Avg FPS: 12.78, Predictions per frame: 1.00, PPS: 13
2025-03-19 15:16:21 - Max FPS: 13.30, Min FPS: 9.06, Avg FPS: 12.55, Predictions per frame: 1.00, PPS: 13
2025-03-19 21:28:34 - Max FPS: 31.25, Min FPS: 1.14, Avg FPS: 18.30, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:28:35 - Max FPS: 33.32, Min FPS: 13.32, Avg FPS: 25.64, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:28:36 - Max FPS: 31.85, Min FPS: 14.15, Avg FPS: 23.22, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:28:37 - Max FPS: 32.97, Min FPS: 15.05, Avg FPS: 27.43, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:28:38 - Max FPS: 32.58, Min FPS: 17.78, Avg FPS: 27.05, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:28:40 - Max FPS: 32.88, Min FPS: 17.65, Avg FPS: 26.40, Predictions per frame: 0.04, PPS: 1
2025-03-19 21:28:41 - Max FPS: 27.28, Min FPS: 1.91, Avg FPS: 13.94, Predictions per frame: 0.89, PPS: 8
2025-03-19 21:28:42 - Max FPS: 16.13, Min FPS: 11.39, Avg FPS: 13.76, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:28:43 - Max FPS: 16.39, Min FPS: 11.31, Avg FPS: 14.79, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:28:44 - Max FPS: 16.27, Min FPS: 11.53, Avg FPS: 15.48, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:28:45 - Max FPS: 16.36, Min FPS: 11.30, Avg FPS: 15.43, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:28:46 - Max FPS: 16.13, Min FPS: 11.49, Avg FPS: 14.60, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:28:47 - Max FPS: 16.25, Min FPS: 11.72, Avg FPS: 14.18, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:28:48 - Max FPS: 16.16, Min FPS: 9.84, Avg FPS: 13.85, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:28:49 - Max FPS: 16.28, Min FPS: 11.66, Avg FPS: 14.82, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:28:50 - Max FPS: 16.67, Min FPS: 11.13, Avg FPS: 14.67, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:28:51 - Max FPS: 32.71, Min FPS: 12.78, Avg FPS: 22.48, Predictions per frame: 0.24, PPS: 5
2025-03-19 21:28:52 - Max FPS: 32.90, Min FPS: 15.59, Avg FPS: 27.02, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:28:53 - Max FPS: 33.05, Min FPS: 8.19, Avg FPS: 27.23, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:28:54 - Max FPS: 33.27, Min FPS: 17.29, Avg FPS: 28.51, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:28:55 - Max FPS: 34.33, Min FPS: 13.56, Avg FPS: 29.42, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:28:56 - Max FPS: 32.24, Min FPS: 14.48, Avg FPS: 24.05, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:28:57 - Max FPS: 31.25, Min FPS: 11.25, Avg FPS: 22.30, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:28:58 - Max FPS: 27.78, Min FPS: 13.05, Avg FPS: 21.10, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:28:59 - Max FPS: 33.01, Min FPS: 13.23, Avg FPS: 26.29, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:29:00 - Max FPS: 32.26, Min FPS: 11.38, Avg FPS: 22.56, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:33:49 - Max FPS: 32.77, Min FPS: 1.31, Avg FPS: 25.46, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:33:50 - Max FPS: 37.02, Min FPS: 17.67, Avg FPS: 31.37, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:33:51 - Max FPS: 38.02, Min FPS: 15.45, Avg FPS: 31.17, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:33:52 - Max FPS: 34.48, Min FPS: 2.43, Avg FPS: 25.62, Predictions per frame: 0.25, PPS: 4
2025-03-19 21:33:53 - Max FPS: 16.83, Min FPS: 11.25, Avg FPS: 15.79, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:33:54 - Max FPS: 17.05, Min FPS: 11.40, Avg FPS: 15.79, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:33:55 - Max FPS: 16.48, Min FPS: 11.47, Avg FPS: 15.67, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:33:56 - Max FPS: 33.88, Min FPS: 11.45, Avg FPS: 21.82, Predictions per frame: 0.50, PPS: 10
2025-03-19 21:33:57 - Max FPS: 36.88, Min FPS: 9.65, Avg FPS: 25.51, Predictions per frame: 0.35, PPS: 8
2025-03-19 21:33:58 - Max FPS: 16.36, Min FPS: 11.87, Avg FPS: 15.63, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:33:59 - Max FPS: 16.67, Min FPS: 11.30, Avg FPS: 15.81, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:34:00 - Max FPS: 16.81, Min FPS: 11.45, Avg FPS: 15.48, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:34:01 - Max FPS: 17.19, Min FPS: 9.69, Avg FPS: 15.48, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:34:03 - Max FPS: 17.08, Min FPS: 9.57, Avg FPS: 15.59, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:34:04 - Max FPS: 16.66, Min FPS: 10.88, Avg FPS: 15.72, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:34:05 - Max FPS: 16.94, Min FPS: 11.21, Avg FPS: 15.80, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:34:06 - Max FPS: 16.91, Min FPS: 11.47, Avg FPS: 15.75, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:34:07 - Max FPS: 36.34, Min FPS: 15.63, Avg FPS: 25.12, Predictions per frame: 0.35, PPS: 8
2025-03-19 21:34:08 - Max FPS: 38.46, Min FPS: 15.63, Avg FPS: 30.77, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:34:09 - Max FPS: 40.01, Min FPS: 17.41, Avg FPS: 31.21, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:34:10 - Max FPS: 39.65, Min FPS: 16.88, Avg FPS: 31.55, Predictions per frame: 0.00, PPS: 0
