Device Info:
CPU: Intel64 Family 6 Model 186 Stepping 2, GenuineIntel (20 cores)
GPU: Not available
Memory: 5.9GB free / 15.6GB total
----------
2025-03-14 05:53:23 - Max FPS: 16.28, Min FPS: 11.86, Avg FPS: 14.41, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:53:24 - Max FPS: 15.56, Min FPS: 11.93, Avg FPS: 13.48, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:53:25 - Max FPS: 16.78, Min FPS: 12.18, Avg FPS: 13.68, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:53:26 - Max FPS: 15.95, Min FPS: 12.00, Avg FPS: 13.45, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:53:27 - Max FPS: 16.18, Min FPS: 12.09, Avg FPS: 13.70, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:53:28 - Max FPS: 16.50, Min FPS: 11.96, Avg FPS: 14.38, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:53:29 - Max FPS: 16.01, Min FPS: 12.30, Avg FPS: 13.65, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:53:30 - Max FPS: 16.91, Min FPS: 12.04, Avg FPS: 13.82, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:53:31 - Max FPS: 12.96, Min FPS: 9.00, Avg FPS: 11.14, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:53:32 - Max FPS: 10.92, Min FPS: 8.75, Avg FPS: 10.13, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:53:33 - Max FPS: 17.03, Min FPS: 12.23, Avg FPS: 13.82, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:53:34 - Max FPS: 16.72, Min FPS: 10.63, Avg FPS: 14.70, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:53:35 - Max FPS: 18.17, Min FPS: 9.19, Avg FPS: 13.80, Predictions per frame: 0.00, PPS: 0
